 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_mean ess_sd ess_bulk ess_tail r_hat
sfr0[14,0] 0.044 0.023 0.002 0.082 0.001 0.0 1056.0 1056.0 989.0 931.0 1.0
sfr0[14,1] 0.082 0.037 0.015 0.145 0.001 0.001 618.0 618.0 594.0 692.0 1.0
sfr0[14,2] 0.082 0.034 0.022 0.147 0.001 0.001 582.0 582.0 559.0 581.0 1.01
sfr0[15,0] 0.093 0.028 0.043 0.149 0.001 0.001 723.0 723.0 733.0 857.0 1.0
sfr0[15,1] 0.121 0.039 0.049 0.191 0.002 0.001 648.0 648.0 639.0 742.0 1.0
sfr0[15,2] 0.11 0.036 0.047 0.179 0.001 0.001 626.0 626.0 634.0 608.0 1.01
sfr0[16,0] 0.144 0.028 0.093 0.197 0.001 0.001 824.0 811.0 828.0 928.0 1.0
sfr0[16,1] 0.155 0.035 0.094 0.223 0.001 0.001 1134.0 1134.0 1129.0 1199.0 1.0
sfr0[16,2] 0.129 0.035 0.066 0.194 0.001 0.001 643.0 643.0 639.0 631.0 1.01
sfr0[17,0] 0.18 0.025 0.131 0.226 0.001 0.0 1554.0 1554.0 1547.0 1340.0 1.0
sfr0[17,1] 0.178 0.037 0.115 0.252 0.001 0.001 1181.0 1181.0 1146.0 1374.0 1.0
sfr0[17,2] 0.136 0.037 0.068 0.208 0.002 0.001 587.0 587.0 582.0 848.0 1.01
sfr0[18,0] 0.202 0.037 0.127 0.271 0.002 0.001 594.0 594.0 595.0 561.0 1.0
sfr0[18,1] 0.193 0.062 0.078 0.299 0.002 0.002 619.0 619.0 598.0 1045.0 1.0
sfr0[18,2] 0.14 0.054 0.043 0.237 0.002 0.002 595.0 595.0 584.0 1096.0 1.0
sfr0[19,0] 0.219 0.077 0.068 0.363 0.003 0.002 587.0 587.0 582.0 443.0 1.0
sfr0[19,1] 0.205 0.107 0.012 0.383 0.004 0.003 658.0 658.0 634.0 918.0 1.0
sfr0[19,2] 0.143 0.089 0.001 0.295 0.003 0.002 754.0 754.0 700.0 731.0 1.0
sfr[0,0] 0.036 0.028 0.0 0.087 0.001 0.0 2212.0 2212.0 1651.0 992.0 1.0
sfr[0,1] 0.048 0.038 0.0 0.117 0.001 0.001 1546.0 1546.0 1024.0 832.0 1.0
sfr[0,2] 0.084 0.061 0.0 0.19 0.002 0.001 1090.0 1090.0 803.0 617.0 1.0
sfr[1,0] 0.02 0.014 0.0 0.045 0.0 0.0 1963.0 1963.0 1559.0 1136.0 1.0
sfr[1,1] 0.03 0.021 0.0 0.067 0.001 0.0 1197.0 1197.0 898.0 754.0 1.0
sfr[1,2] 0.061 0.035 0.005 0.126 0.001 0.001 891.0 891.0 756.0 927.0 1.0
sfr[2,0] 0.012 0.009 0.0 0.028 0.0 0.0 2037.0 2037.0 1329.0 750.0 1.0
sfr[2,1] 0.019 0.015 0.0 0.046 0.0 0.0 1412.0 1412.0 984.0 753.0 1.0
sfr[2,2] 0.043 0.026 0.0 0.087 0.001 0.001 703.0 703.0 664.0 920.0 1.0
sfr[3,0] 0.01 0.008 0.0 0.025 0.0 0.0 2737.0 2553.0 1614.0 717.0 1.0
sfr[3,1] 0.017 0.014 0.0 0.042 0.0 0.0 1944.0 1944.0 1221.0 978.0 1.0
sfr[3,2] 0.035 0.024 0.0 0.076 0.001 0.001 796.0 796.0 713.0 956.0 1.0
sfr[4,0] 0.012 0.009 0.0 0.028 0.0 0.0 1858.0 1858.0 1369.0 924.0 1.0
sfr[4,1] 0.019 0.015 0.0 0.045 0.0 0.0 1554.0 1554.0 1161.0 726.0 1.0
sfr[4,2] 0.033 0.024 0.0 0.076 0.001 0.001 1111.0 1111.0 906.0 789.0 1.0
sfr[5,0] 0.012 0.009 0.0 0.03 0.0 0.0 2061.0 2061.0 1618.0 1247.0 1.0
sfr[5,1] 0.021 0.016 0.0 0.048 0.0 0.0 1510.0 1510.0 1177.0 871.0 1.0
sfr[5,2] 0.031 0.022 0.0 0.072 0.001 0.0 1112.0 1112.0 979.0 863.0 1.0
sfr[6,0] 0.01 0.009 0.0 0.026 0.0 0.0 1883.0 1883.0 1414.0 1099.0 1.0
sfr[6,1] 0.02 0.015 0.0 0.047 0.0 0.0 1248.0 1248.0 974.0 900.0 1.01
sfr[6,2] 0.028 0.021 0.0 0.066 0.001 0.0 1347.0 1347.0 1045.0 1014.0 1.0
sfr[7,0] 0.01 0.008 0.0 0.025 0.0 0.0 2282.0 2276.0 1672.0 954.0 1.0
sfr[7,1] 0.02 0.015 0.0 0.046 0.0 0.0 1608.0 1608.0 1176.0 986.0 1.0
sfr[7,2] 0.027 0.02 0.0 0.062 0.001 0.0 1196.0 1196.0 793.0 688.0 1.0
